threshold,precision,recall,f1,false_positive_rate,tn,fp,fn,tp
0.05,0.9936788874841972,1.0,0.9968294229549778,0.0029171528588098016,5127,15,0,2358
0.1,0.9940978077571669,1.0,0.9970401691331924,0.0027226760015558148,5128,14,0,2358
0.15000000000000002,0.9949367088607595,1.0,0.9974619289340102,0.002333722287047841,5130,12,0,2358
0.2,0.996196111580727,0.9995759117896522,0.997883149872989,0.001750291715285881,5133,9,1,2357
0.25,0.9961945031712474,0.9991518235793045,0.9976709718399323,0.001750291715285881,5133,9,2,2356
0.3,0.9974597798475868,0.9991518235793045,0.9983050847457627,0.0011668611435239206,5136,6,2,2356
0.35000000000000003,0.9978822532825075,0.9991518235793045,0.9985166348802712,0.0009723842862699338,5137,5,2,2356
0.4,0.9987282746926663,0.9991518235793045,0.9989400042399831,0.0005834305717619603,5139,3,2,2356
0.45,0.9991518235793045,0.9991518235793045,0.9991518235793045,0.00038895371450797355,5140,2,2,2356
0.5,0.9991518235793045,0.9991518235793045,0.9991518235793045,0.00038895371450797355,5140,2,2,2356
0.55,0.9991514637250742,0.9987277353689568,0.9989395546129375,0.00038895371450797355,5140,2,3,2355
0.6000000000000001,0.9991514637250742,0.9987277353689568,0.9989395546129375,0.00038895371450797355,5140,2,3,2355
0.6500000000000001,0.9991514637250742,0.9987277353689568,0.9989395546129375,0.00038895371450797355,5140,2,3,2355
0.7000000000000001,0.9995755517826825,0.9987277353689568,0.9991514637250742,0.00019447685725398678,5141,1,3,2355
0.7500000000000001,0.9995755517826825,0.9987277353689568,0.9991514637250742,0.00019447685725398678,5141,1,3,2355
0.8,0.9995755517826825,0.9987277353689568,0.9991514637250742,0.00019447685725398678,5141,1,3,2355
0.8500000000000001,1.0,0.9987277353689568,0.9993634627625716,0.0,5142,0,3,2355
0.9000000000000001,1.0,0.9987277353689568,0.9993634627625716,0.0,5142,0,3,2355
